Plot,Year,Latitude,Longitude,spp1,rba1,spp2,rba2,CAR,CAR_sd,CEL,CEL_sd,ADF,ADF_sd,ADL,ADL_sd,LMA,LMA_sd,NIT,NIT_sd,N15,N15_sd,,
DC50,2010,43.090062,-89.482144,LITU,0.22,QURU,0.15,48.94,0.207,13.62,0.554,32.97,1.199,19.67,0.838,100.07,4.178,2.74,0.075,-1.50,0.269,,
DC51,2010,43.135843,-89.403746,PIRE,0.77,ACNE,0.17,50.43,0.643,18.15,1.244,44.50,2.393,25.90,1.867,179.66,4.063,1.63,0.185,-0.69,0.691,,
DC51,2011,43.135827,-89.403690,PIRE,0.84,ACNE,0.10,50.68,0.689,18.45,1.348,45.30,2.508,26.18,2.003,184.46,3.485,1.59,0.195,-0.96,0.729,,
DC52,2010,43.033052,-89.442442,PIST,0.83,PIRE,0.09,51.37,0.535,16.02,1.858,41.67,3.510,25.12,1.895,166.85,20.433,1.73,0.162,0.26,1.012,,
DC52,2011,43.033075,-89.442493,PIST,0.88,PIRE,0.05,51.36,0.553,16.05,1.864,41.48,3.513,25.04,1.995,166.41,21.002,1.73,0.158,0.35,1.006,,
DC54,2011,42.946997,-89.584705,QUAL,0.65,PRSE,0.15,49.32,0.242,14.88,0.541,34.09,0.730,20.14,0.586,102.33,8.642,3.01,0.144,-3.33,0.313,,
DC55,2011,42.949551,-89.586754,QUAL,0.38,ULAM,0.17,48.87,0.269,15.31,0.435,34.34,0.906,20.07,0.773,98.21,7.397,2.94,0.097,-3.25,0.259,,
DC56,2011,42.947229,-89.587217,QUAL,0.81,QURU,0.08,49.69,0.088,15.70,0.501,35.57,0.350,20.61,0.385,100.28,10.764,3.04,0.165,-3.90,0.299,,
DC57,2011,43.106229,-89.489856,ACSN,0.49,PODE,0.39,49.45,0.751,10.18,1.552,24.46,3.346,15.41,2.062,86.85,4.591,2.48,0.246,-1.77,0.597,,
DC58,2011,43.109225,-89.488946,PODE,0.64,ACSN,0.18,49.35,1.112,10.95,1.163,28.24,2.237,18.07,1.689,84.39,7.135,2.65,0.372,-1.46,0.593,,
